,date,ref_bacen,indice,previsao
0,2017-08,506273616,0.01864492525706892,
1,2017-10,506273616,0.024463768065272236,
2,2017-11,506273616,0.015562677509475539,
4,2017-12,506273616,0.00557011479635748,
6,2018-01,506273616,0.008843661833798797,
7,2018-02,506273616,0.010653191327741616,
9,2018-07,506273616,0.045397624024691566,
10,2018-08,506273616,0.0009636119710795778,
11,2017-07,505954021,0.0006574621959237344,
14,2017-11,505954021,0.0,
22,2017-12,505954021,0.010584810796507013,
25,2018-01,505954021,0.016738995660260384,
31,2018-02,505954021,0.002060855861316523,
34,2018-03,505954021,0.007474639615589963,
37,2018-04,505954021,0.07738095238095238,
50,2017-09,505993977,0.004836109618484685,
54,2017-11,505993977,0.000946073793755913,
61,2017-12,505993977,0.0032556974705735034,
65,2018-01,505993977,0.009399855386840203,
69,2018-03,505993977,0.023809523809523808,
70,2017-07,505993977,0.012169218875173912,
72,2017-08,505993977,0.004467830965146834,
76,2017-10,505993977,0.015750272782501767,
78,2018-07,505993977,0.025184361543854297,
80,2018-08,505993977,0.007249812838001199,
82,2017-07,505967820,0.02293324379729403,
84,2017-08,505967820,0.018936692705038685,
86,2017-09,505967820,-0.011990113695794962,
90,2017-10,505967820,-0.029222421140916915,
92,2017-12,505967820,0.01788259008016205,
94,2018-01,505967820,0.05194923306821245,
100,2018-03,505967820,0.6538189204099225,
102,2018-05,505967820,0.022127600628066874,
104,2018-07,505967820,0.005241768416568977,
106,2017-07,505971238,0.06246636787819119,
108,2017-09,505971238,0.007318204822087495,
112,2017-11,505971238,0.02143163526119939,
118,2017-12,505971238,0.0233738820130539,
122,2018-01,505971238,0.12457788526392503,
126,2018-02,505971238,0.01101692099591975,
128,2018-07,505971238,0.0016983707169750347,
130,2017-09,505954021,-0.0012334510791234684,
135,2018-05,505954021,0.002371687182131603,
136,2018-09,506273616,,0.000963611971079581
137,2018-10,506273616,,0.010286079260843024
138,2018-11,506273616,,0.01610492206904634
139,2018-12,506273616,,0.00720383151324964
140,2019-01,506273616,,-0.004639122806742911
141,2019-02,506273616,,-0.002788731199868417
142,2018-06,505954021,,0.010658140803095937
143,2018-07,505954021,,-0.0007895206786876791
144,2018-08,505954021,,0.006573726312867599
145,2018-09,505954021,,0.01140317432596177
146,2018-10,505954021,,0.023227335786380563
147,2018-11,505954021,,0.019338226590331957
154,2018-09,505993977,,0.007400198371819225
155,2018-10,505993977,,0.01579909938881373
156,2018-11,505993977,,0.00721952256195523
157,2018-12,505993977,,0.00500814902772514
158,2019-01,505993977,,0.005784172627622009
159,2019-02,505993977,,0.01381318389788146
160,2018-08,505967820,,0.022933243797294032
161,2018-09,505967820,,0.01893669270503869
162,2018-10,505967820,,-0.01199011369579496
163,2018-11,505967820,,0.040084394879481844
164,2018-12,505967820,,-0.029222421140916915
165,2019-01,505967820,,0.01788259008016206
166,2018-08,505971238,,0.06246636787819119
167,2018-09,505971238,,0.007318204822087497
168,2018-10,505971238,,0.005573717204101939
169,2018-11,505971238,,0.02143163526119939
170,2018-12,505971238,,0.013767746663529241
171,2019-01,505971238,,-0.008657336669302787
