,REF_BACEN,NU_ORDEM,DT_EMISSAO,DT_VENCIMENTO,CD_ESTADO,CD_EMPREENDIMENTO,idPrograma,idIrrigacao,CD_TIPO_AGRICULTURA,idCiclo,CD_TIPO_CULTIVO,idGrao,DT_FIM_COLHEITA,DT_FIM_PLANTIO,DT_INIC_COLHEITA,DT_INIC_PLANTIO,DT_COMUNICACAO,idCultivar,idSolo,idEvento
0,513678782,1,06/04/2022,15/02/2023,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,17/11/2022,06/30/2022 ,19/10/2022,01/06/2022,01/11/2022,2.0,3.0,17.0
1,512621574,1,25/08/2021,28/10/2022,RS,"1,20E+13",50.0,1.0,7.0,22.0,3.0,8.0,30/04/2022,12/31/2021 ,01/04/2022,03/11/2021,04/03/2022,99.0,9.0,48.0
2,513364988,1,14/01/2022,15/08/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,3.0,3.0,11/06/2022,02/19/2022 ,11/06/2022,19/02/2022,11/05/2022,1.0,3.0,110.0
3,511691096,1,12/03/2021,15/11/2021,PR,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,19/07/2021,03/30/2021 ,05/07/2021,22/03/2021,04/06/2021,1.0,3.0,48.0
4,509326471,1,31/10/2019,05/07/2024,RS,"1,20E+13",50.0,1.0,7.0,22.0,2.0,8.0,05/05/2020,12/05/2019,25/03/2020,05/11/2019,27/03/2020,99.0,3.0,48.0
5,510230071,1,11/06/2020,02/07/2021,PR,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,08/10/2020,06/05/2020,27/09/2020,30/05/2020,17/09/2020,1.0,3.0,24.0
6,513726479,1,19/04/2022,15/12/2022,PR,"1,20E+13",1.0,1.0,3.0,22.0,3.0,3.0,18/09/2022,05/11/2022,18/09/2022,11/05/2022,24/10/2022,1.0,3.0,17.0
7,512436107,1,30/07/2021,20/07/2022,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,25/04/2022,10/30/2021 ,25/02/2022,11/09/2021,13/01/2022,99.0,3.0,48.0
8,509995283,1,16/04/2020,16/03/2021,PR,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,10/11/2020,07/22/2020 ,26/10/2020,22/06/2020,22/10/2020,3.0,2.0,48.0
9,506115187,1,12/01/2018,15/05/2019,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,3.0,15/07/2018,02/20/2018 ,30/06/2018,05/02/2018,17/05/2018,1.0,3.0,48.0
10,513445681,1,03/02/2022,20/01/2023,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,10/11/2022,05/25/2022 ,25/10/2022,10/05/2022,04/11/2022,1.0,1.0,24.0
