ref_bacen;nu_ordem;inicio_plantio;final_plantio;inicio_colheita;final_colheita;data_vencimento;idempreendimento;idevento;idsolo;idirrigacao;idciclo;idgrao;idcultivar;idprograma;estado
513678782;1;01/06/2022;30/06/2022;19/10/2022;17/11/2022;15/02/2023;12000000000000;17;3;1;22;8;2;1;RS
512621574;1;03/11/2021;31/12/2021;01/04/2022;30/04/2022;28/10/2022;12000000000000;48;9;1;22;8;99;50;RS
513364988;1;19/02/2022;19/02/2022;11/06/2022;11/06/2022;15/08/2022;12000000000000;110;3;1;22;3;1;1;PR
511691096;1;22/03/2021;30/03/2021;05/07/2021;19/07/2021;15/11/2021;12000000000000;48;3;1;22;8;1;1;PR
509326471;1;05/11/2019;05/12/2019;25/03/2020;05/05/2020;05/07/2024;12000000000000;48;3;1;22;8;99;50;RS
510230071;1;30/05/2020;05/06/2020;27/09/2020;08/10/2020;02/07/2021;12000000000000;24;3;1;22;8;1;1;PR
513726479;1;11/05/2022;11/05/2022;18/09/2022;18/09/2022;15/12/2022;12000000000000;17;3;1;22;3;1;1;PR
512436107;1;11/09/2021;30/10/2021;25/02/2022;25/04/2022;20/07/2022;12000000000000;48;3;1;22;8;99;1;RS
509995283;1;22/06/2020;22/07/2020;26/10/2020;10/11/2020;16/03/2021;12000000000000;48;2;1;22;8;3;1;PR
506115187;1;05/02/2018;20/02/2018;30/06/2018;15/07/2018;15/05/2019;12000000000000;48;3;1;22;3;1;1;PR
513445681;1;10/05/2022;25/05/2022;25/10/2022;10/11/2022;20/01/2023;12000000000000;24;1;1;22;8;1;1;RS
510530195;1;01/08/2020;15/08/2020;20/12/2020;25/12/2020;18/06/2021;12000000000000;24;9;1;22;8;99;1;RS
9766205;1;01/05/2017;31/05/2017;01/10/2017;31/10/2017;15/03/2018;12000000000000;48;3;1;22;3;2;1;PR
508731986;1;20/10/2019;15/11/2019;20/02/2020;10/04/2020;08/10/2020;12000000000000;48;3;1;22;8;1;1;RS
513819726;1;01/06/2022;10/06/2022;10/10/2022;15/10/2022;10/03/2023;12000000000000;17;9;1;22;8;2;999;RS
512546231;1;03/11/2021;30/11/2021;15/04/2022;17/05/2022;16/09/2022;12000000000000;48;2;1;22;3;99;50;RS
509706085;1;02/06/2020;18/06/2020;15/10/2020;30/10/2020;23/01/2021;12000000000000;24;3;1;22;8;1;1;RS
512618003;2;01/12/2021;15/12/2021;15/04/2022;28/04/2022;17/08/2022;12000000000000;48;3;1;22;8;1;1;RS
512615384;1;02/11/2021;20/11/2021;20/03/2022;01/04/2022;28/07/2022;12000000000000;48;3;1;22;8;2;1;RS
512416646;1;15/10/2021;15/12/2021;01/03/2022;30/04/2022;15/07/2022;12000000000000;48;2;1;22;8;1;1;RS
506019511;1;15/01/2018;28/02/2018;01/05/2018;15/08/2018;06/05/2019;12000000000000;79;3;1;22;8;1;1;PR
512512802;1;30/10/2021;30/11/2021;30/03/2022;16/04/2022;15/07/2022;12000000000000;48;3;1;22;8;2;1;RS
508921426;1;20/10/2019;10/12/2019;01/04/2020;25/05/2020;25/07/2020;12000000000000;48;2;1;22;8;6;1;RS
507898230;1;27/01/2019;28/01/2019;27/06/2019;28/06/2019;08/04/2020;12000000000000;79;3;1;22;8;1;1;PR
511668889;1;05/03/2021;31/03/2021;01/08/2021;31/08/2021;23/11/2021;12000000000000;24;3;1;22;8;1;1;PR
511492941;1;01/05/2021;01/07/2021;10/09/2021;10/11/2021;10/01/2022;12000000000000;17;3;1;22;8;2;50;PR
512417889;1;11/08/2021;30/08/2021;10/02/2022;11/04/2022;10/05/2022;12000000000000;48;3;1;22;8;99;1;RS
511707246;1;01/03/2021;15/03/2021;30/07/2021;30/08/2021;23/04/2022;12000000000000;48;2;1;22;8;1;999;PR
512309254;1;30/10/2021;20/11/2021;15/02/2022;15/04/2022;23/07/2022;12000000000000;48;3;1;22;8;1;1;RS
9118067;1;01/02/2017;28/02/2017;01/09/2017;30/09/2017;19/05/2018;12000000000000;17;3;1;22;8;1;50;PR
510119042;1;20/05/2020;20/05/2020;12/10/2020;12/10/2020;15/12/2020;12000000000000;24;3;1;22;3;2;1;PR
511569194;1;10/06/2021;20/07/2021;10/11/2021;15/12/2021;07/02/2022;12000000000000;17;2;4;22;0;5;1;SC
509340848;1;20/10/2019;20/11/2019;25/02/2020;25/04/2020;23/09/2025;12000000000000;48;9;10;22;8;99;1;RS
508774655;1;20/10/2019;15/11/2019;15/04/2020;20/05/2020;28/07/2022;12000000000000;48;3;1;22;8;3;1;RS
514760391;1;19/09/2022;15/10/2022;01/02/2023;28/02/2023;25/05/2023;12000000000000;48;3;1;22;8;1;1;RS
506326201;1;22/04/2018;20/05/2018;20/08/2018;20/09/2018;15/12/2018;12000000000000;48;3;1;22;8;3;1;PR
514220285;1;02/08/2022;31/08/2022;01/12/2022;15/12/2022;10/03/2023;12000000000000;48;9;1;22;8;99;1;RS
9820725;1;01/05/2017;31/05/2017;01/10/2017;31/10/2017;15/04/2018;12000000000000;24;3;1;22;3;2;1;PR
511653252;1;08/03/2021;10/03/2021;05/08/2021;10/08/2021;27/02/2022;12000000000000;48;2;1;22;8;1;1;PR
513883615;1;25/05/2022;25/05/2022;02/10/2022;02/10/2022;15/12/2022;12000000000000;24;3;1;22;3;1;1;PR
511983745;1;23/06/2021;26/06/2021;25/10/2021;05/11/2021;07/03/2022;12000000000000;17;3;1;22;8;3;1;PR
509044279;1;20/10/2019;29/11/2019;01/03/2020;30/04/2020;15/07/2020;12000000000000;48;2;1;22;8;1;1;RS
512678245;1;20/11/2021;20/01/2022;10/04/2022;10/06/2022;15/06/2022;12000000000000;48;9;1;22;8;99;1;RS
506665973;1;25/05/2018;25/05/2018;17/10/2018;17/10/2018;15/05/2019;12000000000000;24;3;1;22;3;1;1;PR
512301233;1;11/11/2021;20/12/2021;10/03/2022;10/05/2022;08/09/2022;12000000000000;48;9;1;22;8;99;1;RS
513751103;1;15/06/2022;15/07/2022;23/10/2022;22/11/2022;20/03/2023;12000000000000;17;3;1;22;8;2;1;RS
513569693;1;12/03/2022;20/03/2022;01/07/2022;15/08/2022;15/10/2022;12000000000000;110;2;1;22;8;99;999;PR
514427425;1;21/08/2022;20/09/2022;18/01/2023;18/01/2023;20/03/2023;12000000000000;48;3;1;22;8;1;50;SC
506841709;1;10/06/2018;15/06/2018;28/10/2018;30/10/2018;08/06/2019;12000000000000;17;3;1;22;8;1;50;RS
511777989;1;;;20/11/2021;20/12/2021;21/03/2022;12000000000000;17;9;4;22;0;99;1;SC
513877737;1;02/06/2022;15/07/2022;10/10/2022;01/11/2022;25/04/2023;12000000000000;110;3;1;22;3;99;1;RS
510495682;1;01/10/2020;05/11/2020;01/02/2021;20/02/2021;07/07/2021;12000000000000;48;3;1;22;8;3;1;PR
507503309;1;05/10/2018;10/10/2018;07/02/2019;12/02/2019;15/09/2019;12000000000000;48;3;1;22;3;1;1;PR
508324807;1;08/05/2019;08/05/2019;30/09/2019;30/09/2019;15/04/2020;12000000000000;48;3;1;22;3;1;1;PR
510419469;1;15/08/2020;05/09/2020;03/12/2020;24/12/2020;15/03/2021;12000000000000;48;2;1;22;8;1;1;RS
508685610;1;;;15/01/2020;15/02/2020;15/05/2020;12000000000000;31;9;1;22;0;99;1;SC
513452653;2;01/02/2022;10/02/2022;01/07/2022;15/08/2022;01/11/2022;12000000000000;48;3;1;22;8;1;999;PR
512822899;1;10/11/2021;10/01/2022;10/04/2022;10/06/2022;15/06/2022;12000000000000;48;2;1;22;8;1;1;RS
507863938;1;10/02/2019;20/02/2019;05/06/2019;15/06/2019;15/11/2019;12000000000000;79;3;1;22;3;1;1;PR
512370466;1;01/11/2021;30/11/2021;25/04/2022;17/05/2022;15/07/2022;12000000000000;48;3;1;22;8;2;1;RS
511620109;1;25/02/2021;28/02/2021;05/07/2021;08/07/2021;15/02/2022;12000000000000;48;2;1;22;3;1;1;PR
512340887;1;01/09/2021;19/09/2021;31/12/2021;31/01/2022;31/07/2022;12000000000000;48;3;1;22;8;2;1;SC
509584959;1;19/02/2020;20/02/2020;28/06/2020;29/06/2020;15/09/2020;12000000000000;48;3;1;22;3;2;1;PR
508080189;1;16/01/2019;17/01/2019;16/05/2019;17/05/2019;15/11/2019;12000000000000;17;3;1;22;8;3;1;PR
